objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"20 Strong","373167","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138204391","6.48358","7.36194","2.3696","1355","8492","thing","20 Strong","1","1","40","40","30","2023","1","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"20 Strong: Hoplomachus Victorum","373169","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138204485","5.87633","7.66351","2.7647","0","4653","thing","20 Strong: Hoplomachus Victorum","1","1","40","40","30","2023","1","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"20 Strong: Tanglewoods","432950","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138204405","5.626","7.67786","2.2857","0","1463","thing","20 Strong: Tanglewoods","1","1","60","60","30","2025","1","1","12+","Unplayable in another language","","","","","","standalone","","","","",""
"20 Strong: Tanglewoods Gold","424849","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138204490","5.6224","7.61966","2.25","0","2427","thing","20 Strong: Tanglewoods Gold","1","1","60","60","40","2025","1","1","10+","","","","","","","expansion","","","","",""
"20 Strong: Tanglewoods Red","424848","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138204488","5.74987","7.55013","2.8333","0","2634","thing","20 Strong: Tanglewoods Red","1","1","60","60","40","2025","1","1","12+","","","","","","","expansion","","","","",""
"20 Strong: Tanglewoods White","424850","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138204492","5.59907","7.46799","2.75","0","2357","thing","20 Strong: Tanglewoods White","1","1","60","60","40","2025","1","1","12+","","","","","","","expansion","","","","",""
"20 Strong: Too Many Bones","373168","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138204480","5.92634","7.51783","2.3846","0","4976","thing","20 Strong: Too Many Bones","1","1","45","45","30","2023","1","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"5-Minute Marvel","253618","0","1","0","0","0","0","0","0","1","0","0","3","","","","","","83356966","6.1894","6.73591","1.1375","2264","7570","thing","5-Minute Marvel","2","5","5","5","5","2018","2,3,4,5","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"52 Realms: Adventures","432250","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","132088942","5.73237","7.47155","1.9167","5679","1200","thing","52 Realms: Adventures","1","1","20","20","10","2024","1","1","10+","","","","","","","standalone","","","","",""
"The 7th Citadel","286063","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111893732","6.81094","8.33586","2.9529","740","10187","thing","The 7th Citadel","1","4","1000","1000","5","2024","1,2","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The 7th Continent","180263","0","1","0","0","0","0","0","0","1","0","0","3","","","","","","111252229","7.42105","7.73209","2.8968","163","38768","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2,3","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The 7th Continent: What Goes Up, Must Come Down","236206","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","111252236","6.65498","8.2408","3","0","14879","thing","The 7th Continent: What Goes Up, Must Come Down","1","4","1000","1000","5","2019","1,2","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Aberration","395834","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","109113763","5.61649","7.89891","2.6","8572","338","thing","Aberration","1","4","90","90","60","2025","1,2,3,4","2","","","","","","","","standalone","","","","",""
"Adamastor","448435","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137888241","5.79878","7.80672","2.55","4794","1306","thing","Adamastor","1","1","30","30","30","2025","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Adventure Tactics: Domianne's Tower","268504","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","88729826","6.24103","7.75672","2.5357","2060","2964","thing","Adventure Tactics: Domianne's Tower","1","5","90","90","45","2021","1,2,3,4,5","3","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Aeon's End: Legacy","241451","0","9","0","0","0","0","0","0","1","0","0","3","","","","","","111252147","7.26821","8.03234","2.8692","253","11531","thing","Aeon's End: Legacy","1","4","90","90","45","2019","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Aeon's End: The Descent","412268","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","141497426","5.72819","8.65954","3","5750","1097","thing","Aeon's End: The Descent","1","4","60","60","60","2024","1,2,3,4","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Apollo: A Game Inspired by NASA Moon Missions","313008","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","84935975","5.64713","6.23287","2.8125","7535","3431","thing","Apollo: A Game Inspired by NASA Moon Missions","2","5","60","60","30","2020","2,3,4","3","10+","","","","","","","standalone","","","","",""
"ArcheOlogic","386148","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","109677852","5.87162","7.03274","2.4444","4083","1973","thing","ArcheOlogic","1","4","45","45","45","2023","1,2,3,4","1","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Architects of the West Kingdom","236457","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","83669542","7.51215","7.70688","2.7625","130","44549","thing","Architects of the West Kingdom","1","5","80","80","60","2018","1,2,3,4,5","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Arydia: The Paths We Dare Tread","219650","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","85188351","7.07508","9.01085","3.3084","410","5374","thing","Arydia: The Paths We Dare Tread","1","4","240","240","60","2025","1,2,3,4","2","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Avatar: The Last Airbender – Crossroads of Destiny","393492","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","109479384","5.59529","7.39246","2.5455","9569","499","thing","Avatar: The Last Airbender – Crossroads of Destiny","2","4","45","45","45","2023","1,2,3,4","3,4","8+","","","","","","","standalone","","","","",""
"Awkward Guests: The Walton Case","188866","0","1","0","0","0","0","0","0","1","0","0","3","","","","","","109354739","7.09311","7.53713","2.3209","395","17062","thing","Awkward Guests: The Walton Case","1","8","75","75","45","2016","2,3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Bable","404846","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","142292080","5.61583","6.89773","2.125","8603","451","thing","Bable","2","5","45","45","20","2024","2,3,4,5","3,4","10","","","","","","","standalone","","","","",""
"Babylon","418354","0","1","0","1","0","0","0","0","0","0","0","1","","50 copies per day","","","","123038434","5.881","7.10399","1.8667","4003","1681","thing","Babylon","2","4","60","60","40","2024","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Bardsung","322524","0","1","0","0","0","0","0","0","1","0","0","3","","","","","","93171586","5.87307","7.21987","3.119","4069","3447","thing","Bardsung","1","5","90","90","60","2022","1,2,3,4","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Battle of the Bards","254992","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","83481689","5.59413","6.93213","2.2222","9667","475","thing","Battle of the Bards","2","4","60","60","20","2019","2,3,4","2","10+","","","","","","","standalone","","","","",""
"Bharat: Kings of Legend","455186","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","138590885","0","0","0","0","0","thing","Bharat: Kings of Legend","2","5","120","120","90","2026","","","","","","","","","","standalone","","","","",""
"Blabel","253512","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","138577888","5.55434","6.53281","1.5","12686","246","thing","Blabel","3","9","35","35","20","2021","3,4,5,6,7,8,9","4,5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Blob Party","382828","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","109128693","5.67051","6.95629","1.1429","6932","659","thing","Blob Party","4","8","15","15","15","2023","4,5,6,7,8","6,7,8","8+","","","","","","","standalone","","","","",""
"Boss Monster 2: The Next Level","174973","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","84395161","6.17029","6.70808","1.8427","2329","13755","thing","Boss Monster 2: The Next Level","2","4","30","30","20","2015","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Boss Monster: The Dungeon Building Card Game","131835","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","84395153","6.0789","6.26855","1.8482","2747","39628","thing","Boss Monster: The Dungeon Building Card Game","2","4","30","30","30","2013","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"burncycle","322656","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","100927459","6.40618","7.90441","4.0619","1554","3792","thing","burncycle","1","4","180","180","45","2022","1,2,3","1,2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Cangaceiros","377028","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","105536037","5.58919","6.86751","3.1875","9941","407","thing","Cangaceiros","2","5","120","120","60","2023","3,4,5","4,5","14–12","No necessary in-game text","","","","","","standalone","","","","",""
"Canvas","290236","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","102147449","6.92407","7.19573","1.728","592","31937","thing","Canvas","1","5","30","30","30","2021","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cat and the Tower","424751","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","124430195","5.83838","7.3792","1.3333","4381","1494","thing","Cat and the Tower","1","5","30","30","15","2024","1,2,3,4,5","2,3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Cat-a-comb","380975","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","124430289","5.6061","7.03217","1.2857","9052","714","thing","Cat-a-comb","2","2","15","15","15","2024","2","2","10","","","","","","","standalone","","","","",""
"The Chameleon","227072","0","0","0","0","0","0","0","0","1","0","0","3","","","","","","84366487","6.17067","6.50525","1.0505","2328","15415","thing","The Chameleon","3","8","15","15","15","2017","4,5,6,7,8","6,7","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Charterstone","197376","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","84395109","6.8883","7.17586","2.8571","629","26895","thing","Charterstone","1","6","75","75","45","2017","2,3,4,5,6","6","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Cheating Moth","105593","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","101098151","6.09854","6.40744","1.162","2643","16281","thing","Cheating Moth","3","5","30","30","30","2011","3,4,5","5","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Chronicles of Drunagor: Age of Darkness","268012","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","121310580","6.37858","8.20496","3.375","1629","3929","thing","Chronicles of Drunagor: Age of Darkness","1","5","120","120","120","2021","1,2,3,4,5","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic","383010","0","1","0","0","0","0","0","0","1","0","0","3","","","","","","131376212","6.40661","8.56187","2.75","1563","3780","thing","Clank! Legacy 2: Acquisitions Incorporated – Darkest Magic","2","4","120","120","60","2024","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Clank! Legacy: Acquisitions Incorporated","266507","0","9","0","0","0","0","0","0","1","0","0","3","","","","","","83669439","7.93956","8.49933","2.7362","28","19240","thing","Clank! Legacy: Acquisitions Incorporated","2","4","120","120","90","2019","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Clash of Cultures: Monumental Edition","299659","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","87402881","7.31072","8.2677","3.7401","230","8766","thing","Clash of Cultures: Monumental Edition","2","4","240","240","180","2021","2,3,4","3,4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Class of '89","442093","0","0","0","0","0","0","1","0","0","0","0","3","","","","","","141469182","0","7.5","3","0","1","thing","Class of '89","1","4","90","90","60","2026","","","","","","","","","","standalone","","","","",""
"CloudAge","316858","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","111658177","6.40353","7.18014","2.84","1568","6300","thing","CloudAge","1","4","100","100","60","2020","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Coffee Rush","377061","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","135289281","6.5216","7.10413","1.7887","1265","11500","thing","Coffee Rush","2","4","30","30","30","2023","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Coffee Rush: Piece of Cake","411435","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","135289285","5.74725","7.56722","2","0","2671","thing","Coffee Rush: Piece of Cake","2","4","30","30","30","2024","2,3,4","3","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Coffee Rush: Winter","462564","0","0","0","0","0","0","1","0","0","0","0","3","","","","","","141881424","0","7.54286","1.5","0","39","thing","Coffee Rush: Winter","2","4","40","40","30","2026","3","3","","","","","","","","standalone","","","","",""
"Comic Hunters","322616","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","121559677","6.53486","7.58138","2.2245","1232","5703","thing","Comic Hunters","1","4","60","60","60","2020","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Coming of Age","431837","9","3","0","1","0","0","0","0","0","0","0","3","","It is a fun medium-light game, very thematic and beautiful. Great introduction to ""worker placement"" and track development, and thereby, great introduction to euros.
For what it proposes, definitely a 9.","","","","137955327","5.76733","7.03557","3.3077","5182","1025","thing","Coming of Age","1","4","80","80","40","2025","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Cozy Stickerville","456440","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","143127589","6.47442","8.39053","1.2083","1375","4254","thing","Cozy Stickerville","1","6","30","30","30","2026","1,2,3","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Unexpected Games","English","2026","English edition"
"Creature Comforts","304051","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","99874226","6.84483","7.41636","2.3571","698","13179","thing","Creature Comforts","1","5","45","45","45","2022","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Cryptid: Urban Legends","343274","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","84329834","5.4427","5.06068","2.4545","29963","1199","thing","Cryptid: Urban Legends","2","2","40","40","20","2022","2","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"DANTE: Inferno","368309","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","141265390","5.57917","7.56375","3.3","10565","682","thing","DANTE: Inferno","1","4","120","120","90","2025","1,2,3,4","1","","","","","","","","standalone","","","","",""
"The Dark Quarter","354768","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","134263662","5.81792","7.03593","1.8947","4571","3275","thing","The Dark Quarter","1","4","180","180","120","2025","1,2,3,4","2","18+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Daruma","378293","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","111252305","5.6102","6.84848","1.1667","8865","529","thing","Daruma","2","5","40","40","20","2023","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dawn of the Zeds (Third Edition)","175095","0","0","0","0","0","0","0","1","0","0","0","1","","","","","","84394469","6.94094","8.14503","3.8066","567","7147","thing","Dawn of the Zeds (Third Edition)","1","5","120","120","90","2016","1,2","1","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Dawn of the Zeds: Designer Edition","456142","0","0","0","0","0","0","1","0","0","0","0","3","","","","","","137360710","0","8","0","0","3","thing","Dawn of the Zeds: Designer Edition","1","4","120","120","60","2026","","","","","","","","","","standalone","","","","",""
"Deep Regrets","397931","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","131242925","6.45129","7.3238","2.3367","1436","7392","thing","Deep Regrets","1","5","150","150","30","2025","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Descent: Legends of the Dark","322708","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","113517035","7.01699","7.89111","2.7076","482","12539","thing","Descent: Legends of the Dark","1","4","180","180","120","2021","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Destinies","285192","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111252288","7.08321","7.64908","1.9217","405","18597","thing","Destinies","1","3","150","150","90","2021","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Detective Club","256788","0","0","0","0","0","0","0","0","0","0","0","1","","","","","","84394276","6.71676","7.35582","1.2308","877","8048","thing","Detective Club","4","8","45","45","45","2018","5,6,7,8","6,7","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Dice Miner","310632","0","0","0","0","0","0","0","0","0","0","0","3","","Parece interessante, mas envolve muita sorte. Não comprar","","","","118111761","6.49137","7.29438","1.6557","1340","5717","thing","Dice Miner","1","4","30","30","20","2021","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dicemancy","444226","0","0","0","0","0","0","0","0","0","1","0","3","","","","","","131901973","5.63232","7.63283","2.6667","7979","739","thing","Dicemancy","1","1","45","45","30","2025","1","1","14","","","","","","","standalone","","","","",""
