objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Andromeda's Edge","358661","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129310776","7.41806","8.23877","3.75","165","11121","thing","Andromeda's Edge","2","4","160","160","80","2024","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Atlantis Exodus","424679","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124941909","5.82994","7.50438","3.3235","4516","1085","thing","Atlantis Exodus","1","4","90","90","90","2024","2,3","3","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Believe in Me! (Please)","436790","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","137258103","0","8.28636","0","0","10","thing","Believe in Me! (Please)","2","4","120","120","60","2026","","","","","","","","","","standalone","","","","",""
"Brass: Birmingham","224517","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","109464879","8.39058","8.56063","3.8594","1","85902","thing","Brass: Birmingham","2","4","120","120","60","2018","2,3,4","3,4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Carnegie","310873","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","106212029","7.51918","7.94976","3.8196","127","16999","thing","Carnegie","1","4","120","120","90","2022","1,2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Cats & Dragons","427828","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","123995132","0","8","0","0","0","thing","Cats & Dragons","2","4","60","60","30","2026","","","","","","","","","","standalone","","","","",""
"Curious Cargo","312251","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","106212206","6.28693","6.97921","3.2054","1941","6300","thing","Curious Cargo","2","2","60","60","30","2020","2","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Discworld: Ankh-Morpork","91312","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124941893","6.87265","7.25851","2.2069","654","13297","thing","Discworld: Ankh-Morpork","2","4","60","60","60","2011","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dominion","36218","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124941925","7.4737","7.59722","2.3442","146","131492","thing","Dominion","2","4","30","30","30","2008","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dorfromantik: Sakura","424774","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124941918","6.57393","7.99608","1.9362","1164","6102","thing","Dorfromantik: Sakura","1","6","90","90","30","2024","1,2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
