objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Wonders","68448","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129233464","7.54601","7.66028","2.3145","118","157277","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders Duel","173346","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111370986","7.94992","8.07461","2.2276","24","186604","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Above and Below","172818","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","127166422","7.06429","7.33853","2.5139","432","27423","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Adamastor","448435","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","137259586","5.8723","7.72752","2.4348","4143","1781","thing","Adamastor","1","1","30","30","30","2025","1","1","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Adventure Tactics: Domianne's Tower","268504","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122896535","6.2453","7.75294","2.5357","2069","3004","thing","Adventure Tactics: Domianne's Tower","1","5","90","90","45","2021","1,2,3,4,5","3","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Air, Land, & Sea","247367","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122895570","7.07043","7.43739","1.735","424","21563","thing","Air, Land, & Sea","2","2","20","20","20","2019","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Air, Land, & Sea: Spies, Lies, & Supplies","358981","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119661955","6.417","7.72091","1.7778","1547","5622","thing","Air, Land, & Sea: Spies, Lies, & Supplies","2","2","30","30","15","2022","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Arcs","359871","0","0","0","1","0","0","0","0","0","0","0","4","","","","","","111371321","7.59442","7.99109","3.4466","100","30981","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Art Society","395375","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119662297","6.65523","7.46909","1.8679","997","7530","thing","Art Society","2","4","60","60","30","2023","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Ascension Tactics: Miniatures Deckbuilding Game","304531","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122896525","6.24157","7.80188","2.5484","2086","2715","thing","Ascension Tactics: Miniatures Deckbuilding Game","1","4","90","90","45","2022","1,2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
