objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Ankh: Gods of Egypt","285967","9","8","0","1","0","0","0","0","0","0","0","3","","","","","","128366456","7.27136","7.73144","3.1324","252","19457","thing","Ankh: Gods of Egypt","2","5","90","90","90","2021","2,3,4,5","2,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","CMON Global Limited; Guillotine Games","English","2021","English edition"
"Ankh: Gods of Egypt – Guardians Set","308321","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141645709","6.05436","7.85329","3","0","6242","thing","Ankh: Gods of Egypt – Guardians Set","2","5","90","90","90","2021","2,3,4,5","2","","","","","","","","expansion","","","","",""
"Ankh: Gods of Egypt – Pantheon","307807","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141645714","6.27542","8.22988","3","0","7001","thing","Ankh: Gods of Egypt – Pantheon","2","5","90","90","90","2021","2,3,4,5","2","","","","","","","","expansion","","","","",""
"Ankh: Gods of Egypt – Tomb of Wonders","308966","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130881667","6.24877","8.38534","2.6667","0","5439","thing","Ankh: Gods of Egypt – Tomb of Wonders","2","5","180","180","90","2021","2,3,4,5","2,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Arboretum","140934","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","130892254","7.06137","7.24556","2.1121","429","42795","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Arcs","359871","8","5","0","1","0","0","0","0","0","0","0","3","","","","","","127162042","7.58328","8.01499","3.4387","104","28014","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Arcs: Leaders & Lore Pack","419279","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","141645743","6.62442","8.56427","3.2778","0","10265","thing","Arcs: Leaders & Lore Pack","2","4","120","120","60","2024","2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Arcs: The Blighted Reach Expansion","363757","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","139568620","6.91611","8.86726","4.5183","0","8834","thing","Arcs: The Blighted Reach Expansion","2","4","0","0","0","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Ark Nova","342942","0","99","0","1","0","0","0","0","0","0","0","3","","","","","","125960768","8.35468","8.54186","3.7953","2","87391","thing","Ark Nova","1","4","150","150","90","2021","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Ark Nova: Promotion Team & Capybara Promo Cards","433207","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140904512","5.55669","8.29449","0","0","455","thing","Ark Nova: Promotion Team & Capybara Promo Cards","1","4","0","0","0","2024","","","","","","","","","","expansion","","","","",""
"Automobiles","180680","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","130892456","6.51213","7.17967","2.2222","1286","3059","thing","Automobiles","2","5","45","45","45","2016","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Azul","230802","5","5","0","1","0","0","0","0","0","0","0","3","","","","","","125960704","7.60781","7.71763","1.7745","96","181286","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Beat the Heat","432","0","15","0","1","0","0","0","0","0","0","0","3","","","","","","136621552","6.85687","6.9836","1.1893","675","49815","thing","Beat the Heat","2","10","45","45","45","1994","3,4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
