objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"6 nimmt! Plus","20030","0","1","0","0","0","0","0","0","0","0","0","3","","","","","","142787567","5.78265","6.63544","1.2769","0","1478","thing","6 nimmt! Plus","2","7","45","45","45","2005","4,5,6,7","5","8+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders (Second Edition)","316377","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","82737167","7.357","7.82772","2.2672","207","19374","thing","7 Wonders (Second Edition)","3","7","30","30","30","2020","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders (Second Edition): Cities","316378","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","82740457","6.17892","8.03789","2.2941","0","4425","thing","7 Wonders (Second Edition): Cities","3","7","40","40","40","2020","3,4,5,6,7","5","10+","","","","","","","expansion","","","","",""
"7 Wonders (Second Edition): Leaders","316380","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","82915097","6.30056","8.19619","2.381","0","4665","thing","7 Wonders (Second Edition): Leaders","3","7","40","40","40","2020","3,4,5,6,7","4,5","10+","","","","","","","expansion","","","","",""
"7 Wonders Duel","173346","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","82740440","7.95412","8.07883","2.2271","24","182787","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders Duel: Agora","309116","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","82915081","7.25775","8.05604","2.8731","0","23688","thing","7 Wonders Duel: Agora","2","2","30","30","30","2020","2","2","12+","No necessary in-game text","","","","","","expansion","","","","",""
"7 Wonders Duel: Pantheon","202976","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125748239","7.62507","7.99609","2.3121","0","50925","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","Repos Production","English","2016","English edition 2016"
"7 Wonders: Architects","346703","0","20","0","1","0","0","0","0","0","0","0","3","","","","","","92443109","6.76242","7.03235","1.3683","808","19643","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"7 Wonders: Edifice","378839","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","105422776","5.82043","7.41701","1.75","0","3246","thing","7 Wonders: Edifice","3","7","30","30","30","2023","3,4,5,6,7","5","10+","","","","","","","expansion","","","","",""
"Ankh: Gods of Egypt","285967","0","3","0","0","0","0","0","0","0","0","0","3","","","","","","129934370","7.27136","7.73144","3.1324","252","19457","thing","Ankh: Gods of Egypt","2","5","90","90","90","2021","2,3,4,5","2,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Arcs","359871","0","2","0","0","0","0","0","0","0","0","0","3","","","","","","132001541","7.58328","8.01499","3.4387","104","28014","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Leder Games","English","2024","English edition"
"Arcs: The Blighted Reach Expansion","363757","0","2","0","0","0","0","0","0","0","0","0","3","","","","","","143038092","6.91611","8.86726","4.5183","0","8834","thing","Arcs: The Blighted Reach Expansion","2","4","0","0","0","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","Leder Games","English","2024","English edition"
"Ark Nova","342942","0","6","0","0","0","0","0","0","0","0","0","3","","","","","","134671737","8.35468","8.54186","3.7953","2","87391","thing","Ark Nova","1","4","150","150","90","2023","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Capstone Games; Feuerland Spiele","English","2023","English edition 2023"
"Avalon: Big Box","367396","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","119825358","6.02889","8.00581","2.1765","2996","2069","thing","Avalon: Big Box","5","10","30","30","30","2022","6,7,8,9,10","7,8","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Indie Boards & Cards","English","2022","English edition"
"Betrayal at House on the Hill","10547","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","82758792","6.78833","7.0096","2.3991","766","86114","thing","Betrayal at House on the Hill","3","6","60","60","60","2004","3,4,5,6","5,6","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Camel Up (Second Edition)","260605","0","8","0","1","0","0","0","0","0","0","0","3","","","","","","82758757","7.2487","7.54197","1.5131","265","30360","thing","Camel Up (Second Edition)","3","8","45","45","30","2018","3,4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Canvas: Deluxe Edition","290236","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","116208162","6.92352","7.19568","1.7273","591","31811","thing","Canvas","1","5","30","30","30","2021","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Road To Infamy Games (R2i Games)","English","2021","English deluxe edition, first printing"
"Canvas: Reflections – Deluxe Edition","337330","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116208196","5.94767","7.94301","1.8","0","4362","thing","Canvas: Reflections – Deluxe Edition","1","5","30","30","30","2022","1,2,3,4,5","2,4","8+","","","","","","","expansion","","","","",""
"Carcassonne","822","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","82740320","7.29849","7.41614","1.8857","239","221768","thing","Carcassonne","2","5","45","45","30","2000","2,3,4,5","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Carcassonne: Inns & Cathedrals","2993","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","92443104","7.39455","7.64413","1.9263","0","53615","thing","Carcassonne: Inns & Cathedrals","2","6","60","60","60","2002","2,3,4,5,6","2,3","8+","No necessary in-game text","","","","","","expansion","","","","",""
"Carcassonne: Traders & Builders","5405","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143446659","7.32269","7.62141","2.0577","0","44613","thing","Carcassonne: Traders & Builders","2","6","60","60","60","2025","2,3,4,5","2,3","8+","No necessary in-game text","","","","","","expansion","","Hans im Glück","English","2025","English edition 2025"
"The Castles of Burgundy","271320","0","4","0","0","0","0","0","0","1","0","0","3","","","","","","92443110","8.00469","8.45323","2.9142","0","29895","thing","The Castles of Burgundy","1","4","120","120","70","2019","1,2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"The Castles of Burgundy: Special Edition","363622","9.5","6","0","1","0","0","0","0","0","0","0","3","","","","","","108520253","8.4662","9.14126","2.8362","0","24443","thing","The Castles of Burgundy: Special Edition","1","4","120","120","70","2023","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Catan: 25th Anniversary Edition","305668","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","82740260","5.72987","7.627","2.1429","0","1191","thing","Catan: 25th Anniversary Edition","3","6","120","120","60","2020","3,4,5,6","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Clue","130592","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","82740683","5.67018","5.92146","1.4691","6923","10957","thing","Clue","2","6","40","40","40","2012","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Clue: World of Harry Potter","109296","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","82740693","5.56957","6.22168","1.7778","11299","1050","thing","Clue: World of Harry Potter","3","5","30","30","30","2011","3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Come Sail Away!","386405","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143883902","6.53043","7.75236","2.0816","1244","3700","thing","Come Sail Away!","1","4","25","25","25","2025","1,2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","Saashi & Saashi","English","2025","English edition"
"Coup","131357","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","92443203","6.83175","6.97469","1.4151","713","92640","thing","Coup","2","6","15","15","15","2015","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Indie Boards & Cards","English","2015","English retail edition 2015"
"Courtisans","402283","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","133897644","6.59394","7.26421","1.3125","1108","8061","thing","Courtisans","2","5","30","30","20","2024","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Pandasaurus Games","English","2024","English edition"
"Critter Kitchen","393429","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","130802734","6.65762","7.81417","2.4471","983","7383","thing","Critter Kitchen","1","5","60","60","60","2025","1,2,3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Cardboard Alchemy","English","2025","English Kickstarter edition"
"Critter Kitchen: À La Cart","414479","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130802759","5.6739","8.12791","2.6667","0","2006","thing","Critter Kitchen: À La Cart","2","7","60","60","60","2025","3,4,5","4","","","","","","","","expansion","","Cardboard Alchemy; Lucky Duck Games","English","2025","English edition"
